[2021-07-10T08:32:02.067506Z |   MainThread |     INFO] Logger Initialized
[2021-07-10T08:32:02.091577Z |   MainThread |     INFO] {"class":"VERSION","release":"3.17","rev":"3.17","proto_major":3,"proto_minor":12}
[2021-07-10T08:32:04.495970Z |   MainThread |     INFO] {"class":"DEVICE","path":"/dev/serial0","driver":"MTK-3301","subtype":"AXN_2.31_3339_13101700-5632","activated":"2021-07-10T08:32:04.177Z","flags":1,"native":0,"bps":9600,"parity":"N","stopbits":1,"cycle":1.00,"mincycle":0.20}
[2021-07-10T08:32:05.097824Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1}
[2021-07-10T08:32:06.100255Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:00:14.799Z","ept":0.005}
[2021-07-10T08:32:07.102673Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:00:15.799Z","ept":0.005}
[2021-07-10T08:32:08.104650Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:00:16.799Z","ept":0.005}
[2021-07-10T08:32:09.107029Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:00:17.799Z","ept":0.005}
[2021-07-10T08:32:10.109364Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:00:18.799Z","ept":0.005}
[2021-07-10T08:32:11.111746Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:00:19.799Z","ept":0.005}
[2021-07-10T08:32:12.114081Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:00:20.799Z","ept":0.005}
[2021-07-10T08:32:13.115925Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:00:21.799Z","ept":0.005}
[2021-07-10T08:32:14.117970Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:00:22.799Z","ept":0.005}
[2021-07-10T08:32:15.120175Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:00:23.799Z","ept":0.005}
[2021-07-10T08:32:16.122459Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:00:24.799Z","ept":0.005}
[2021-07-10T08:32:17.124903Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:00:25.799Z","ept":0.005}
[2021-07-10T08:32:18.127286Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:00:26.799Z","ept":0.005}
[2021-07-10T08:32:19.129640Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:00:27.799Z","ept":0.005}
[2021-07-10T08:32:20.132003Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:00:28.799Z","ept":0.005}
[2021-07-10T08:32:21.134391Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:00:29.799Z","ept":0.005}
[2021-07-10T08:32:22.136810Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:00:30.799Z","ept":0.005}
[2021-07-10T08:32:23.139226Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:00:31.799Z","ept":0.005}
[2021-07-10T08:32:24.141604Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:00:32.799Z","ept":0.005}
[2021-07-10T08:32:25.143713Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:00:33.799Z","ept":0.005}
[2021-07-10T08:32:26.145911Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:00:34.799Z","ept":0.005}
[2021-07-10T08:32:27.148440Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:00:35.799Z","ept":0.005}
[2021-07-10T08:32:28.150877Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:00:36.799Z","ept":0.005}
[2021-07-10T08:32:29.153242Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:00:37.799Z","ept":0.005}
[2021-07-10T08:32:30.155734Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:00:38.799Z","ept":0.005}
[2021-07-10T08:32:31.158098Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:00:39.799Z","ept":0.005}
[2021-07-10T08:32:32.160571Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:00:40.799Z","ept":0.005}
[2021-07-10T08:32:33.162108Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:00:41.799Z","ept":0.005}
[2021-07-10T08:32:34.163574Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:00:42.799Z","ept":0.005}
[2021-07-10T08:32:35.165802Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:00:43.799Z","ept":0.005}
[2021-07-10T08:32:36.168104Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:00:44.799Z","ept":0.005}
[2021-07-10T08:32:37.170604Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:00:45.799Z","ept":0.005}
[2021-07-10T08:32:38.172196Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:00:46.799Z","ept":0.005}
[2021-07-10T08:32:39.173666Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:00:47.799Z","ept":0.005}
[2021-07-10T08:32:40.175651Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:00:48.799Z","ept":0.005}
[2021-07-10T08:32:41.178030Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:00:49.799Z","ept":0.005}
[2021-07-10T08:32:42.180518Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:00:50.799Z","ept":0.005}
[2021-07-10T08:32:43.183027Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:00:51.799Z","ept":0.005}
[2021-07-10T08:32:44.185329Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:00:52.799Z","ept":0.005}
[2021-07-10T08:32:45.187667Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:00:53.799Z","ept":0.005}
[2021-07-10T08:32:46.189984Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:00:54.799Z","ept":0.005}
[2021-07-10T08:32:47.192303Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:00:55.799Z","ept":0.005}
[2021-07-10T08:32:48.194612Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:00:56.799Z","ept":0.005}
[2021-07-10T08:32:49.196983Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:00:57.799Z","ept":0.005}
[2021-07-10T08:32:50.199315Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:00:58.799Z","ept":0.005}
[2021-07-10T08:32:51.201600Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:00:59.799Z","ept":0.005}
[2021-07-10T08:32:52.203920Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:01:00.799Z","ept":0.005}
[2021-07-10T08:32:53.206114Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:01:01.799Z","ept":0.005}
[2021-07-10T08:32:54.207976Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:01:02.799Z","ept":0.005}
[2021-07-10T08:32:55.209507Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:01:03.799Z","ept":0.005}
[2021-07-10T08:32:56.211300Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:01:04.799Z","ept":0.005}
[2021-07-10T08:32:57.213794Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:01:05.799Z","ept":0.005}
[2021-07-10T08:32:58.216113Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:01:06.799Z","ept":0.005}
[2021-07-10T08:32:59.018106Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:01:07.799Z","ept":0.005}
[2021-07-10T08:33:00.220761Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:01:08.799Z","ept":0.005}
[2021-07-10T08:33:01.223221Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:01:09.799Z","ept":0.005}
[2021-07-10T08:33:02.025360Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:01:10.799Z","ept":0.005}
[2021-07-10T08:33:03.027721Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:01:11.799Z","ept":0.005}
[2021-07-10T08:33:04.030034Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:01:12.799Z","ept":0.005}
